"","year","plan_name","state","return_1yr","aal","mva","arr","payroll","payroll_growth_assumption","total_nc_pct","total_proj_adec_pct","refunds","benefit_payments","total_benefits"
"1",2001,"Alabama Employees' Retirement System (ERS)*","Alabama",-0.0636,8010123000,7236735000,0.08,2408543000,0.045,0.1,0.0956,-1544000,378196060,-379740060
"2",2002,"Alabama Employees' Retirement System (ERS)*","Alabama",-0.0929,8493469000,6424435000,0.08,2547775000,0.045,0.0988,0.1133,-8388000,411556940,-419944940
"3",2003,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1648,9124279000,7222812000,0.08,2677025000,0,0.0873,0.1024,-820000,454751060,-455571060
"4",2004,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1006,9546478000,7795598000,0.08,2702393000,0.045,0.0988,0.1268,-3798000,497945220,-501743220
"5",2005,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1098,10634976000,8464515000,0.08,2982122000,0.045,0.0982,0.1423,0,539462060,-539462060
"6",2006,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0837,11457564000,9001867000,0.08,3070146000,0.045,0.1006,0.1522,0,615907940,-615907940
"7",2007,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1792,12370342000,10401218000,0.08,3389156000,0.045,0.1002,0.1553,0,650343500,-650343500
"8",2008,"Alabama Employees' Retirement System (ERS)*","Alabama",-0.1521,13078687000,8647705000,0.08,3553330000,0.045,0.1005,0.1628,0,690034940,-690034940
"9",2009,"Alabama Employees' Retirement System (ERS)*","Alabama",-0.1003,13756176000,7679005000,0.08,3620243000,0.045,0.0884,0.1325,-14000,734599880,-734613880
"10",2010,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0847,14284119000,8176732000,0.08,3619670000,0.045,0.0806,0.1297,0,778328440,-778328440
"11",2011,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0221,14366796000,8130435000,0.08,3540681000,0.0325,0.0778,0.1627,0,827273750,-827273750
"12",2012,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1801,13884995000,9188696000,0.08,3252003000,0.0325,0.0964,0.1924,0,864958380,-864958380
"13",2013,"Alabama Employees' Retirement System (ERS)*","Alabama",0.146,14536600000,10091940000,0.08,3400596000,0.0325,0.0999,0.197,0,898211880,-898211880
