ppd_id,PlanName,fy,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,UAALAmortPeriod_GASB,BlendedDiscountRate,ActAssets_GASB,MktAssets_Smooth,MktAssets_net,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,payroll,RequiredContribution,PercentReqContPaid,InvestmentReturn_1yr
1,Alabama ERS,2001,0,0,40,,8028471,,7236735,8010123,1,-18348,2408543,122483,1,0
1,Alabama ERS,2002,0,0,40,,8100846,,6424435,8493469,1,392623,2547775,123887,1,0
1,Alabama ERS,2003,0,0,20,,8312500,,7222812,9124279,1,811779,2677025,154218,1,0
1,Alabama ERS,2004,0,0,20,,8563945,,7795598,9546478,1,982533,2702393,170713,1,0
1,Alabama ERS,2005,0,0,20,,8935358,,8464515,10634976,1,1699618,2982122,195846,1,0
1,Alabama ERS,2006,0,0,20,,9287531,,9001867,11457564,1,2170033,3070146,241750,1,0
1,Alabama ERS,2007,0,0,20,,9770897,,10401218,12370342,1,2599445,3389156,277254,1,0
1,Alabama ERS,2008,0,0,30,,9905766,,8647705,13078687,1,3172921,3553330,329339,1,0
1,Alabama ERS,2009,0,0,30,,9928104,,7679005,13756176,1,3828072,3620243,451139,1,0
1,Alabama ERS,2010,0,0,30,,9739331,,8176732,14284119,1,4544788,3619670,377898,1,0
1,Alabama ERS,2011,0,0,30,,9456158,,8130435,14366796,1,4910638,3540681,394998,1,0
1,Alabama ERS,2012,0,0,30,,9116551,9116551,9188696,13884995,1,4768444,3252003,317520,1,0
1,Alabama ERS,2013,0,0,30,,9546459,10012967,10091940,14536600,1,4990141,3400596,338819,1,0
1,Alabama ERS,2014,0,0,30,0,10134581,10803110,10883952,15138294,1,5003713,3444341,391181,1,0
1,Alabama ERS,2015,0,0,30,0,10589258,10485256,10551904,15723720,1,5134462,3488017,410932,1,0
1,Alabama ERS,2016,0,0,30,0,,,11177074,,,,,,,0
2,Alabama Teachers,2001,0,0,10,,17475298,,15814533,17238616,1,-236682,4305080,279880,1,0
2,Alabama Teachers,2002,0,0,10,,17904881,,14167952,18374174,1,469293,4379183,265670,1,0
2,Alabama Teachers,2003,0,0,10,,18110470,,15685620,19357735,1,1247265,4632611,235786,1,0
2,Alabama Teachers,2004,0,0,20,,18704009,,16853149,20886190,1,2182181,4846677,312474,1,0
2,Alabama Teachers,2005,0,0,20,,19248207,,18168523,23027338,1,3779131,5326408,347862,1,0
2,Alabama Teachers,2006,0,0,20,,19821133,,19207803,23945100,1,4123967,5458443,434195,1,0
